Australian Bureau of Statistics,,,,,,
"Schools, Australia 2020",,,,,,
"Released at 11.30am (Canberra time) Friday, 19 February, 2021",,,,,,
"Table 46a Students (FTE) by ASGS Remoteness Indicator and Affiliation, States and Territories, 2020",,,,,,
Year,State/Territory,Affiliation,ASGS Remoteness Classification,Male Count (FTE),Female Count (FTE),Total Student Count (FTE)
2020,g NT,b Non-Government,d Remote,"1,422.40","1,426.00","2,848.40"
2020,g NT,b Non-Government,e Very Remote,556,550,"1,106.00"
2020,h ACT,a Government,a Major City,"23,629.30","21,829.30","45,516.60"
2020,h ACT,a Government,b Inner Regional,15,13,28
2020,h ACT,a Government,c Outer Regional,0,0,0
2020,h ACT,a Government,d Remote,0,0,0
2020,h ACT,a Government,e Very Remote,0,0,0
2020,h ACT,b Non-Government,a Major City,14404.4,14174.6,28579
2020,h ACT,b Non-Government,b Inner Regional,0,0,0
2020,h ACT,b Non-Government,c Outer Regional,0,0,0
2020,h ACT,b Non-Government,d Remote,0,0,0
2020,h ACT,b Non-Government,e Very Remote,0,0,0
,,,,,,
Table Notes,,,,,,
"(a) In 2020 there were 234 students whose biological sex was reported as neither male nor female. In order to protect the confidentiality of these students the ABS has randomly assigned them to have either a male or female status. This approach aligns with the United Nations Statistical Division 2010, Handbook on Population and Housing Census Editing, Revision 1, (Sections 346-347).",,,,,,
(b) In 2016 the Australian Statistical Geography Standard (ASGS) remoteness Indicator replaced the previously used Standing Council on School Education and Early Childhood (SCSEEC) remoteness indicator. The ASGS  is a measure of geographical remoteness: Metropolitan refers to mainland state capital city and city-based areas; Provincial refers to central and regional areas; Remote and Very Remote refer to isolated and highly remote areas.,,,,,,
(c) ACT has no Remote or Very Remote areas. Victoria has no Very Remote areas. NT has no Metropolitan areas.,,,,,,
"(d) Student FTE totals, by state and territory, may be different to figures published in other sources.",,,,,,
,,,,,,
© Commonwealth of Australia 2021,,,,,,
