Australian Bureau of Statistics,,,,,,,,,,,
"Schools, Australia, 2020",,,,,,,,,,,
#REF!,,,,,,,,,,,
#REF!,,,,,,,,,,,
Year,State/Territory,Affiliation (Gov/Non-gov),Affiliation (Gov/Cath/Ind),FT/PT,Sex,School Level,National Report on Schooling (ANR) School Level,Year (Grade),FTE Aboriginal and Torres Strait Islander Students ,FTE Non-Indigenous Students ,FTE All Students 
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,1551,21706,23257
2020,a NSW,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,1076,18547,19623
2020,a NSW,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,13.7,88.1,101.8
2020,a NSW,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,33.5,356.2,389.7
2020,a NSW,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,15.1,110.6,125.7
2020,a NSW,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,36.1,474.5,510.6
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),417,8903,9320
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,b Year 1,356,9001,9357
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,c Year 2,364,9014,9378
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,d Year 3,336,9125,9461
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,e Year 4,333,8661,8994
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,f Year 5,333,9045,9378
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,g Year 6,295,8936,9231
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,9,226,235
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,372,11365,11737
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,386,11237,11623
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,363,10792,11155
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,383,10463,10846
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,17,244,261
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,232,9123,9355
2020,a NSW,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,199,8091,8290
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),386,8851,9237
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,b Year 1,346,8924,9270
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,c Year 2,367,8983,9350
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,d Year 3,331,8745,9076
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,e Year 4,353,8827,9180
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,f Year 5,338,8775,9113
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,g Year 6,361,8685,9046
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,i Ungraded primary,6,91,97
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,424,11374,11798
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,418,11208,11626
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,368,10745,11113
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,332,10127,10459
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,10,138,148
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,286,9396,9682
2020,a NSW,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,241,8980,9221
2020,a NSW,b Non-government,b Catholic,b Part-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,0,1.5,1.5
2020,a NSW,b Non-government,b Catholic,b Part-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,0,1.5,1.5
2020,a NSW,b Non-government,b Catholic,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,0,4.2,4.2
2020,a NSW,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,0,3,3
2020,a NSW,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,0,11.4,11.4
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),134,5274,5408
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,b Year 1,151,5229,5380
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,c Year 2,119,5383,5502
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,d Year 3,108,5482,5590
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,e Year 4,109,5660,5769
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,f Year 5,122,6186,6308
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,g Year 6,121,6185,6306
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,47,806,853
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,157,8482,8639
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,141,8078,8219
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,167,8018,8185
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,183,7522,7705
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,25,524,549
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,145,6829,6974
2020,a NSW,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,114,6139,6253
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),116,5247,5363
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,b Year 1,119,5287,5406
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,c Year 2,131,5226,5357
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,d Year 3,129,5531,5660
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,e Year 4,108,5661,5769
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,f Year 5,123,6098,6221
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,g Year 6,119,6191,6310
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,i Ungraded primary,18,213,231
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,185,8269,8454
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,165,7830,7995
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,213,7753,7966
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,284,7728,8012
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,27,132,159
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,167,6788,6955
2020,a NSW,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,137,6340,6477
2020,a NSW,b Non-government,c Independent,b Part-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,16.3,16.3
2020,a NSW,b Non-government,c Independent,b Part-time,a Male,a Primary School,a Primary School,d Year 3,0,1.3,1.3
2020,a NSW,b Non-government,c Independent,b Part-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,2.2,1.8,4
2020,a NSW,b Non-government,c Independent,b Part-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,0,2.7,2.7
2020,a NSW,b Non-government,c Independent,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,0,9,9
2020,a NSW,b Non-government,c Independent,b Part-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),3.1,17.6,20.7
2020,a NSW,b Non-government,c Independent,b Part-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,0,2.4,2.4
2020,a NSW,b Non-government,c Independent,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,8.4,21.8,30.2
2020,a NSW,b Non-government,c Independent,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,7.7,27.3,35
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),712,28684,29396
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,b Year 1,699,28369,29068
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,c Year 2,648,28809,29457
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,d Year 3,607,27702,28309
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,e Year 4,600,27571,28171
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,f Year 5,639,26799,27438
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,g Year 6,618,26444,27062
2020,b Vic.,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,234,3968,4202
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,607,23092,23699
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,560,22544,23104
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,508,21916,22424
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,450,21134,21584
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,260,4329,4589
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,355,18837,19192
2020,b Vic.,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,227,15094,15321
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),677,27034,27711
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,b Year 1,680,26498,27178
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,c Year 2,643,26995,27638
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,d Year 3,598,25970,26568
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,e Year 4,618,25573,26191
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,f Year 5,591,25107,25698
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,g Year 6,606,24603,25209
2020,b Vic.,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,i Ungraded primary,77,1554,1631
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,581,20832,21413
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,549,20602,21151
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,529,20269,20798
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,472,19445,19917
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,142,1985,2127
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,391,18538,18929
2020,b Vic.,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,279,16008,16287
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,8.4,8.4
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,b Year 1,0,8.9,8.9
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,c Year 2,0,8,8
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,d Year 3,0,6.2,6.2
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,e Year 4,0,11.6,11.6
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,f Year 5,2.5,6.2,8.7
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,g Year 6,0,11.7,11.7
2020,b Vic.,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,i Ungraded primary,2,111.9,113.9
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,0,6,6
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,0,8.9,8.9
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,0,14.4,14.4
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,0,41.8,41.8
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,2.4,22.7,25.1
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,0,233.5,233.5
2020,b Vic.,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,0,268.9,268.9
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,3.6,3.6
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,b Year 1,0,5.6,5.6
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,c Year 2,0,5.6,5.6
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,d Year 3,0,2.1,2.1
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,e Year 4,0,3.9,3.9
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,f Year 5,0,6,6
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,g Year 6,0,5.1,5.1
2020,b Vic.,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,i Ungraded primary,2.2,40.4,42.6
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,0,2.3,2.3
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,0,9.8,9.8
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,0.9,16.5,17.4
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,0,51.3,51.3
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,0,7.8,7.8
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,4.3,339.6,343.9
2020,b Vic.,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,2.4,367.2,369.6
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),91,8091,8182
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,b Year 1,95,8126,8221
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,c Year 2,81,8229,8310
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,d Year 3,76,7900,7976
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,e Year 4,90,7949,8039
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,f Year 5,55,7990,8045
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,g Year 6,83,8012,8095
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,0,31,31
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,95,8884,8979
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,94,8689,8783
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,76,8303,8379
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,82,7994,8076
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,0,31,31
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,50,7444,7494
2020,b Vic.,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,61,6628,6689
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),106,7765,7871
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,b Year 1,88,7744,7832
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,c Year 2,103,7900,8003
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,d Year 3,80,7792,7872
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,e Year 4,75,7733,7808
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,f Year 5,68,7903,7971
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,g Year 6,85,7918,8003
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,i Ungraded primary,0,17,17
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,83,9117,9200
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,74,8962,9036
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,84,8499,8583
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,78,7974,8052
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,0,35,35
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,59,7753,7812
2020,b Vic.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,51,7374,7425
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,1.8,1.8
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,b Year 1,0,5,5
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,c Year 2,0,5.6,5.6
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,d Year 3,0,4.9,4.9
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,e Year 4,0,4.7,4.7
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,f Year 5,0,2.8,2.8
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,g Year 6,0,2,2
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,i Ungraded primary,0,4,4
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,0,2.6,2.6
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,0,2.6,2.6
2020,b Vic.,b Non-government,b Catholic,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,0,2.4,2.4
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,2.2,2.2
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,b Year 1,0,1.4,1.4
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,c Year 2,0,1.6,1.6
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,d Year 3,0,1.4,1.4
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,e Year 4,0,2.9,2.9
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,f Year 5,0,1.6,1.6
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,i Ungraded primary,0,1.8,1.8
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,0,1.2,1.2
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,0,2.2,2.2
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,0,1.4,1.4
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,0,1.9,1.9
2020,b Vic.,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,0,3.2,3.2
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),14,4248,4262
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,b Year 1,15,4213,4228
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,c Year 2,20,4155,4175
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,d Year 3,20,4186,4206
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,e Year 4,15,4216,4231
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,f Year 5,18,4775,4793
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,g Year 6,26,4822,4848
2020,b Vic.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,0,25,25
